Survived,Pclass,Gender,Age,Ticket_Cost,Embarked
0.00,3.00,1.00,34.50,7.83,1.00
1.00,3.00,0.00,47.00,7.00,2.00
0.00,2.00,1.00,62.00,9.69,1.00
0.00,3.00,1.00,27.00,8.66,2.00
1.00,3.00,0.00,22.00,12.29,2.00
0.00,3.00,1.00,14.00,9.23,2.00
1.00,3.00,0.00,30.00,7.63,1.00
0.00,2.00,1.00,26.00,29.00,2.00
1.00,3.00,0.00,18.00,7.23,3.00
0.00,3.00,1.00,21.00,24.15,2.00
0.00,3.00,1.00,0.00,7.90,2.00
0.00,1.00,1.00,46.00,26.00,2.00
1.00,1.00,0.00,23.00,82.27,2.00
0.00,2.00,1.00,63.00,26.00,2.00
1.00,1.00,0.00,47.00,61.18,2.00
1.00,2.00,0.00,24.00,27.72,3.00
0.00,2.00,1.00,35.00,12.35,1.00
0.00,3.00,1.00,21.00,7.23,3.00
1.00,3.00,0.00,27.00,7.93,2.00
1.00,3.00,0.00,45.00,7.23,3.00
0.00,1.00,1.00,55.00,59.40,3.00
0.00,3.00,1.00,9.00,3.17,2.00
1.00,1.00,0.00,0.00,31.68,2.00
0.00,1.00,1.00,21.00,61.38,3.00
1.00,1.00,0.00,48.00,262.38,3.00
0.00,3.00,1.00,50.00,14.50,2.00
1.00,1.00,0.00,22.00,61.98,3.00
0.00,3.00,1.00,22.50,7.23,3.00
0.00,1.00,1.00,41.00,30.50,2.00
0.00,3.00,1.00,0.00,21.68,3.00
0.00,2.00,1.00,50.00,26.00,2.00
0.00,2.00,1.00,24.00,31.50,2.00
1.00,3.00,0.00,33.00,20.58,2.00
1.00,3.00,0.00,0.00,23.45,2.00
0.00,1.00,1.00,30.00,57.75,3.00
0.00,3.00,1.00,18.50,7.23,3.00
1.00,3.00,0.00,0.00,8.05,2.00
1.00,3.00,0.00,21.00,8.66,2.00
0.00,3.00,1.00,25.00,9.50,2.00
0.00,3.00,1.00,0.00,56.50,2.00
0.00,3.00,1.00,39.00,13.42,3.00
0.00,1.00,1.00,0.00,26.55,2.00
0.00,3.00,1.00,41.00,7.85,2.00
1.00,2.00,0.00,30.00,13.00,2.00
1.00,1.00,0.00,45.00,52.55,2.00
0.00,3.00,1.00,25.00,7.93,2.00
0.00,1.00,1.00,45.00,29.70,3.00
0.00,3.00,1.00,0.00,7.75,1.00
1.00,1.00,0.00,60.00,76.29,3.00
1.00,3.00,0.00,36.00,15.90,2.00
0.00,1.00,1.00,24.00,60.00,2.00
0.00,2.00,1.00,27.00,15.03,3.00
1.00,2.00,0.00,20.00,23.00,2.00
1.00,1.00,0.00,28.00,263.00,2.00
0.00,2.00,1.00,0.00,15.58,3.00
0.00,3.00,1.00,10.00,29.13,1.00
0.00,3.00,1.00,35.00,7.90,2.00
0.00,3.00,1.00,25.00,7.65,2.00
0.00,3.00,1.00,0.00,16.10,2.00
1.00,1.00,0.00,36.00,262.38,3.00
0.00,3.00,1.00,17.00,7.90,2.00
0.00,2.00,1.00,32.00,13.50,2.00
0.00,3.00,1.00,18.00,7.75,2.00
1.00,3.00,0.00,22.00,7.73,1.00
0.00,1.00,1.00,13.00,262.38,3.00
1.00,2.00,0.00,0.00,21.00,2.00
1.00,3.00,0.00,18.00,7.88,1.00
0.00,1.00,1.00,47.00,42.40,2.00
0.00,1.00,1.00,31.00,28.54,3.00
1.00,1.00,0.00,60.00,263.00,2.00
1.00,3.00,0.00,24.00,7.75,1.00
0.00,3.00,1.00,21.00,7.90,2.00
1.00,3.00,0.00,29.00,7.93,2.00
0.00,1.00,1.00,28.50,27.72,3.00
1.00,1.00,0.00,35.00,211.50,3.00
0.00,1.00,1.00,32.50,211.50,3.00
0.00,3.00,1.00,0.00,8.05,2.00
1.00,1.00,0.00,55.00,25.70,2.00
0.00,2.00,1.00,30.00,13.00,2.00
1.00,3.00,0.00,24.00,7.75,1.00
0.00,3.00,1.00,6.00,15.25,3.00
0.00,1.00,1.00,67.00,221.78,2.00
0.00,1.00,1.00,49.00,26.00,2.00
0.00,3.00,1.00,0.00,7.90,2.00
0.00,2.00,1.00,0.00,10.71,1.00
0.00,3.00,1.00,0.00,14.45,3.00
1.00,3.00,0.00,27.00,7.88,1.00
1.00,3.00,0.00,18.00,8.05,2.00
1.00,3.00,0.00,0.00,7.75,1.00
0.00,2.00,1.00,2.00,23.00,2.00
1.00,3.00,0.00,22.00,13.90,2.00
0.00,3.00,1.00,0.00,7.78,2.00
1.00,1.00,0.00,27.00,52.00,2.00
0.00,3.00,1.00,0.00,8.05,2.00
0.00,1.00,1.00,25.00,26.00,3.00
0.00,3.00,1.00,25.00,7.80,2.00
1.00,1.00,0.00,76.00,78.85,2.00
0.00,3.00,1.00,29.00,7.93,2.00
1.00,3.00,0.00,20.00,7.85,2.00
0.00,3.00,1.00,33.00,8.05,2.00
1.00,1.00,0.00,43.00,55.44,3.00
0.00,2.00,1.00,27.00,26.00,2.00
0.00,3.00,1.00,0.00,7.75,1.00
0.00,3.00,1.00,26.00,7.78,2.00
1.00,3.00,0.00,16.00,8.52,3.00
0.00,3.00,1.00,28.00,22.53,2.00
0.00,3.00,1.00,21.00,7.82,1.00
0.00,3.00,1.00,0.00,7.75,1.00
0.00,3.00,1.00,0.00,8.71,2.00
0.00,2.00,1.00,18.50,13.00,2.00
0.00,2.00,1.00,41.00,15.05,3.00
1.00,3.00,0.00,0.00,7.78,1.00
1.00,1.00,0.00,36.00,31.68,3.00
1.00,3.00,0.00,18.50,7.28,1.00
1.00,1.00,0.00,63.00,221.78,2.00
0.00,3.00,1.00,18.00,14.45,3.00
0.00,3.00,1.00,0.00,6.44,3.00
1.00,3.00,0.00,1.00,16.70,2.00
0.00,1.00,1.00,36.00,75.24,3.00
1.00,2.00,0.00,29.00,26.00,2.00
1.00,2.00,0.00,12.00,15.75,2.00
0.00,3.00,1.00,0.00,7.75,1.00
1.00,1.00,0.00,35.00,57.75,3.00
0.00,3.00,1.00,28.00,7.25,2.00
0.00,3.00,1.00,0.00,7.75,1.00
1.00,3.00,0.00,17.00,16.10,2.00
0.00,3.00,1.00,22.00,7.80,2.00
1.00,3.00,0.00,0.00,23.25,1.00
0.00,2.00,1.00,42.00,13.00,2.00
0.00,3.00,1.00,24.00,8.05,2.00
0.00,3.00,1.00,32.00,8.05,2.00
0.00,1.00,1.00,53.00,28.50,3.00
1.00,3.00,0.00,0.00,25.47,2.00
0.00,3.00,1.00,0.00,6.44,3.00
0.00,3.00,1.00,43.00,7.90,2.00
0.00,3.00,1.00,24.00,7.85,2.00
0.00,3.00,1.00,26.50,7.23,3.00
0.00,2.00,1.00,26.00,13.00,2.00
1.00,3.00,0.00,23.00,8.05,2.00
0.00,3.00,1.00,40.00,46.90,2.00
1.00,3.00,0.00,10.00,46.90,2.00
1.00,1.00,0.00,33.00,151.55,2.00
0.00,1.00,1.00,61.00,262.38,3.00
0.00,2.00,1.00,28.00,26.00,2.00
0.00,1.00,1.00,42.00,26.55,2.00
0.00,3.00,1.00,31.00,18.00,2.00
0.00,1.00,1.00,0.00,51.86,2.00
0.00,3.00,1.00,22.00,8.05,2.00
0.00,1.00,1.00,0.00,26.55,2.00
0.00,2.00,1.00,30.00,26.00,2.00
1.00,1.00,0.00,23.00,83.16,3.00
0.00,3.00,1.00,0.00,7.90,3.00
0.00,3.00,1.00,60.50,0.00,2.00
1.00,3.00,0.00,36.00,12.18,2.00
0.00,3.00,1.00,13.00,31.39,2.00
0.00,3.00,1.00,24.00,7.55,2.00
1.00,1.00,0.00,29.00,221.78,2.00
1.00,3.00,0.00,23.00,7.85,2.00
0.00,1.00,1.00,42.00,26.55,2.00
1.00,3.00,0.00,26.00,13.78,2.00
1.00,3.00,0.00,0.00,7.73,1.00
0.00,3.00,1.00,7.00,15.25,3.00
1.00,2.00,0.00,26.00,13.50,2.00
0.00,3.00,1.00,0.00,7.00,2.00
0.00,2.00,1.00,41.00,13.00,2.00
1.00,3.00,0.00,26.00,22.03,2.00
0.00,1.00,1.00,48.00,50.50,3.00
0.00,3.00,1.00,18.00,34.38,2.00
1.00,1.00,0.00,0.00,27.72,3.00
1.00,3.00,0.00,22.00,8.96,2.00
0.00,3.00,1.00,0.00,7.55,2.00
0.00,3.00,1.00,27.00,7.23,3.00
0.00,3.00,1.00,23.00,13.90,2.00
0.00,3.00,1.00,0.00,7.23,3.00
0.00,3.00,1.00,40.00,31.39,2.00
1.00,2.00,0.00,15.00,39.00,2.00
1.00,2.00,0.00,20.00,36.75,2.00
0.00,1.00,1.00,54.00,55.44,3.00
1.00,2.00,0.00,36.00,39.00,2.00
1.00,1.00,0.00,64.00,83.16,3.00
0.00,2.00,1.00,30.00,13.00,2.00
0.00,1.00,1.00,37.00,83.16,3.00
1.00,1.00,0.00,18.00,53.10,2.00
0.00,3.00,1.00,0.00,7.75,1.00
1.00,1.00,0.00,27.00,247.52,3.00
0.00,2.00,1.00,40.00,16.00,2.00
1.00,2.00,0.00,21.00,21.00,2.00
0.00,3.00,1.00,17.00,8.05,2.00
1.00,3.00,0.00,0.00,69.55,2.00
0.00,2.00,1.00,40.00,13.00,2.00
0.00,2.00,1.00,34.00,26.00,2.00
0.00,1.00,1.00,0.00,26.00,2.00
0.00,3.00,1.00,11.50,14.50,2.00
0.00,2.00,1.00,61.00,12.35,1.00
0.00,2.00,1.00,8.00,32.50,2.00
0.00,3.00,1.00,33.00,7.85,2.00
0.00,1.00,1.00,6.00,134.50,3.00
1.00,3.00,0.00,18.00,7.78,2.00
0.00,2.00,1.00,23.00,10.50,2.00
1.00,3.00,0.00,0.00,8.11,2.00
1.00,3.00,0.00,0.00,15.50,1.00
0.00,3.00,1.00,0.33,14.40,2.00
0.00,1.00,1.00,47.00,227.53,3.00
1.00,2.00,0.00,8.00,26.00,2.00
0.00,2.00,1.00,25.00,10.50,2.00
0.00,1.00,1.00,0.00,25.74,3.00
1.00,3.00,0.00,35.00,7.75,1.00
0.00,2.00,1.00,24.00,10.50,2.00
1.00,1.00,0.00,33.00,27.72,3.00
0.00,3.00,1.00,25.00,7.90,2.00
0.00,3.00,1.00,32.00,22.53,2.00
0.00,3.00,1.00,0.00,7.05,2.00
0.00,2.00,1.00,17.00,73.50,2.00
1.00,2.00,0.00,60.00,26.00,2.00
1.00,3.00,0.00,38.00,7.78,2.00
0.00,1.00,1.00,42.00,42.50,2.00
1.00,3.00,0.00,0.00,7.88,1.00
0.00,1.00,1.00,57.00,164.87,2.00
1.00,1.00,0.00,50.00,211.50,3.00
0.00,3.00,1.00,0.00,8.05,2.00
1.00,2.00,0.00,30.00,13.86,3.00
0.00,3.00,1.00,21.00,8.05,2.00
1.00,2.00,0.00,22.00,10.50,2.00
0.00,3.00,1.00,21.00,7.80,2.00
1.00,1.00,0.00,53.00,27.45,3.00
1.00,3.00,0.00,0.00,15.25,3.00
0.00,3.00,1.00,23.00,7.80,2.00
1.00,3.00,0.00,0.00,7.75,1.00
0.00,3.00,1.00,40.50,15.10,2.00
0.00,2.00,1.00,36.00,13.00,2.00
0.00,2.00,1.00,14.00,65.00,2.00
1.00,1.00,0.00,21.00,26.55,2.00
0.00,3.00,1.00,21.00,6.50,2.00
0.00,3.00,1.00,0.00,7.88,1.00
0.00,1.00,1.00,39.00,71.28,3.00
0.00,3.00,1.00,20.00,7.85,2.00
0.00,1.00,1.00,64.00,75.25,3.00
0.00,3.00,1.00,20.00,7.23,3.00
1.00,2.00,0.00,18.00,13.00,2.00
1.00,1.00,0.00,48.00,106.43,3.00
1.00,1.00,0.00,55.00,27.72,3.00
1.00,2.00,0.00,45.00,30.00,2.00
0.00,1.00,1.00,45.00,134.50,3.00
0.00,3.00,1.00,0.00,7.89,2.00
0.00,3.00,1.00,0.00,23.45,2.00
0.00,1.00,1.00,41.00,51.86,2.00
1.00,2.00,0.00,22.00,21.00,2.00
0.00,2.00,1.00,42.00,32.50,2.00
1.00,2.00,0.00,29.00,26.00,2.00
1.00,3.00,0.00,0.00,14.45,3.00
1.00,2.00,0.00,0.92,27.75,2.00
0.00,3.00,1.00,20.00,7.93,2.00
0.00,1.00,1.00,27.00,136.78,3.00
0.00,3.00,1.00,24.00,9.33,2.00
0.00,3.00,1.00,32.50,9.50,2.00
0.00,3.00,1.00,0.00,7.55,2.00
0.00,3.00,1.00,0.00,7.75,1.00
0.00,3.00,1.00,28.00,8.05,2.00
1.00,2.00,0.00,19.00,13.00,2.00
0.00,3.00,1.00,21.00,7.78,2.00
0.00,3.00,1.00,36.50,17.40,2.00
0.00,3.00,1.00,21.00,7.85,2.00
1.00,2.00,0.00,29.00,23.00,2.00
1.00,3.00,0.00,1.00,12.18,2.00
0.00,2.00,1.00,30.00,12.74,3.00
0.00,3.00,1.00,0.00,7.90,2.00
0.00,1.00,1.00,0.00,0.00,2.00
0.00,3.00,1.00,0.00,7.55,2.00
1.00,3.00,0.00,0.00,8.05,2.00
0.00,3.00,1.00,17.00,8.66,2.00
0.00,1.00,1.00,46.00,75.24,3.00
0.00,3.00,1.00,0.00,7.75,1.00
1.00,1.00,0.00,26.00,136.78,3.00
1.00,3.00,0.00,0.00,15.50,1.00
0.00,3.00,1.00,0.00,7.23,3.00
1.00,2.00,0.00,20.00,26.00,2.00
0.00,2.00,1.00,28.00,10.50,2.00
0.00,2.00,1.00,40.00,26.00,2.00
0.00,2.00,1.00,30.00,21.00,2.00
0.00,2.00,1.00,22.00,10.50,2.00
1.00,3.00,0.00,23.00,8.66,2.00
0.00,3.00,1.00,0.75,13.78,2.00
1.00,3.00,0.00,0.00,7.75,1.00
1.00,3.00,0.00,9.00,15.25,3.00
1.00,3.00,0.00,2.00,20.21,2.00
0.00,3.00,1.00,36.00,7.25,2.00
0.00,3.00,1.00,0.00,7.25,2.00
0.00,1.00,1.00,24.00,82.27,2.00
0.00,3.00,1.00,0.00,7.23,3.00
0.00,3.00,1.00,0.00,8.05,2.00
0.00,1.00,1.00,0.00,39.60,2.00
1.00,3.00,0.00,30.00,6.95,1.00
0.00,3.00,1.00,0.00,7.23,3.00
0.00,1.00,1.00,53.00,81.86,2.00
0.00,3.00,1.00,36.00,9.50,2.00
0.00,3.00,1.00,26.00,7.90,2.00
1.00,2.00,0.00,1.00,41.58,3.00
0.00,3.00,1.00,0.00,21.68,3.00
0.00,1.00,1.00,30.00,45.50,2.00
0.00,3.00,1.00,29.00,7.85,2.00
0.00,3.00,1.00,32.00,7.78,2.00
0.00,2.00,1.00,0.00,15.05,3.00
0.00,2.00,1.00,43.00,21.00,2.00
0.00,3.00,1.00,24.00,8.66,2.00
1.00,3.00,0.00,0.00,7.75,1.00
1.00,1.00,0.00,64.00,26.55,2.00
0.00,1.00,1.00,30.00,151.55,2.00
0.00,3.00,1.00,0.83,9.35,2.00
0.00,1.00,1.00,55.00,93.50,2.00
1.00,3.00,0.00,45.00,14.11,2.00
0.00,3.00,1.00,18.00,8.66,2.00
0.00,3.00,1.00,22.00,7.23,3.00
0.00,3.00,1.00,0.00,7.58,2.00
1.00,3.00,0.00,37.00,7.75,1.00
1.00,1.00,0.00,55.00,135.63,3.00
1.00,3.00,0.00,17.00,7.73,1.00
0.00,1.00,1.00,57.00,146.52,3.00
0.00,2.00,1.00,19.00,10.50,2.00
0.00,3.00,1.00,27.00,7.85,2.00
0.00,2.00,1.00,22.00,31.50,2.00
0.00,3.00,1.00,26.00,7.78,2.00
0.00,3.00,1.00,25.00,7.23,3.00
0.00,2.00,1.00,26.00,13.00,2.00
0.00,1.00,1.00,33.00,26.55,2.00
1.00,1.00,0.00,39.00,211.34,2.00
0.00,3.00,1.00,23.00,7.05,2.00
1.00,2.00,0.00,12.00,39.00,2.00
0.00,1.00,1.00,46.00,79.20,3.00
0.00,2.00,1.00,29.00,26.00,2.00
0.00,2.00,1.00,21.00,13.00,2.00
1.00,2.00,0.00,48.00,36.75,2.00
0.00,1.00,1.00,39.00,29.70,3.00
0.00,3.00,1.00,0.00,7.23,3.00
1.00,3.00,0.00,19.00,15.74,3.00
0.00,3.00,1.00,27.00,7.90,2.00
0.00,1.00,1.00,30.00,26.00,2.00
0.00,2.00,1.00,32.00,13.00,2.00
0.00,3.00,1.00,39.00,7.23,3.00
0.00,2.00,1.00,25.00,31.50,2.00
0.00,3.00,1.00,0.00,7.23,3.00
0.00,2.00,1.00,18.00,10.50,2.00
0.00,3.00,1.00,32.00,7.58,2.00
0.00,3.00,1.00,0.00,69.55,2.00
1.00,1.00,0.00,58.00,512.33,3.00
0.00,3.00,1.00,0.00,14.50,2.00
1.00,3.00,0.00,16.00,7.65,2.00
0.00,2.00,1.00,26.00,13.00,2.00
1.00,3.00,0.00,38.00,7.23,3.00
0.00,2.00,1.00,24.00,13.50,2.00
1.00,2.00,0.00,31.00,21.00,2.00
1.00,1.00,0.00,45.00,63.36,3.00
0.00,2.00,1.00,25.00,10.50,2.00
0.00,2.00,1.00,18.00,73.50,2.00
0.00,2.00,1.00,49.00,65.00,2.00
1.00,3.00,0.00,0.17,20.58,2.00
0.00,1.00,1.00,50.00,26.00,2.00
1.00,1.00,0.00,59.00,51.48,2.00
0.00,3.00,1.00,0.00,7.88,2.00
0.00,3.00,1.00,0.00,7.75,1.00
1.00,3.00,0.00,30.00,15.55,2.00
0.00,3.00,1.00,14.50,69.55,2.00
1.00,2.00,0.00,24.00,37.00,3.00
1.00,2.00,0.00,31.00,21.00,2.00
0.00,3.00,1.00,27.00,8.66,2.00
1.00,1.00,0.00,25.00,55.44,3.00
1.00,3.00,0.00,0.00,69.55,2.00
0.00,3.00,1.00,0.00,14.46,3.00
1.00,3.00,0.00,22.00,39.69,2.00
1.00,1.00,0.00,45.00,59.40,3.00
0.00,2.00,1.00,29.00,13.86,3.00
0.00,2.00,1.00,21.00,11.50,2.00
1.00,1.00,0.00,31.00,134.50,3.00
0.00,1.00,1.00,49.00,0.00,2.00
0.00,2.00,1.00,44.00,13.00,2.00
1.00,1.00,0.00,54.00,81.86,2.00
1.00,1.00,0.00,45.00,262.38,3.00
1.00,3.00,0.00,22.00,8.66,2.00
0.00,2.00,1.00,21.00,11.50,2.00
0.00,1.00,1.00,55.00,50.00,2.00
0.00,3.00,1.00,5.00,31.39,2.00
0.00,3.00,1.00,0.00,7.75,1.00
0.00,3.00,1.00,26.00,7.88,1.00
1.00,3.00,0.00,0.00,14.50,2.00
1.00,3.00,0.00,19.00,16.10,2.00
0.00,2.00,1.00,0.00,12.88,2.00
1.00,2.00,0.00,24.00,65.00,2.00
0.00,3.00,1.00,24.00,7.78,2.00
0.00,2.00,1.00,57.00,13.00,2.00
0.00,3.00,1.00,21.00,7.75,1.00
0.00,3.00,1.00,6.00,21.08,2.00
0.00,1.00,1.00,23.00,93.50,2.00
1.00,1.00,0.00,51.00,39.40,2.00
0.00,3.00,1.00,13.00,20.25,2.00
0.00,2.00,1.00,47.00,10.50,2.00
0.00,3.00,1.00,29.00,22.03,2.00
1.00,1.00,0.00,18.00,60.00,2.00
0.00,3.00,1.00,24.00,7.25,1.00
1.00,1.00,0.00,48.00,79.20,3.00
0.00,3.00,1.00,22.00,7.78,2.00
0.00,3.00,1.00,31.00,7.73,1.00
1.00,1.00,0.00,30.00,164.87,2.00
0.00,2.00,1.00,38.00,21.00,2.00
1.00,1.00,0.00,22.00,59.40,3.00
0.00,1.00,1.00,17.00,47.10,2.00
0.00,1.00,1.00,43.00,27.72,3.00
0.00,2.00,1.00,20.00,13.86,3.00
0.00,2.00,1.00,23.00,10.50,2.00
0.00,1.00,1.00,50.00,211.50,3.00
1.00,3.00,0.00,0.00,7.72,1.00
1.00,3.00,0.00,3.00,13.78,2.00
1.00,3.00,0.00,0.00,7.75,1.00
1.00,1.00,0.00,37.00,90.00,1.00
1.00,3.00,0.00,28.00,7.78,2.00
0.00,3.00,1.00,0.00,8.05,2.00
1.00,1.00,0.00,39.00,108.90,3.00
0.00,3.00,1.00,38.50,7.25,2.00
0.00,3.00,1.00,0.00,8.05,2.00
0.00,3.00,1.00,0.00,22.36,3.00
